x : f(x) : interpolation : error
-1.0472 : 0.846606 : 0.846606 : 0
-0.837758 : 0.584205 : 0.584205 : -1.11022e-16
-0.628319 : 0.352475 : 0.352475 : -1.11022e-16
-0.418879 : 0.166159 : 0.166159 : -8.32667e-17
-0.20944 : 0.0432399 : 0.0432399 : -1.31839e-16
-5.55112e-17 : 3.08149e-33 : 0 : 3.08149e-33
0.20944 : 0.0432399 : 0.0432399 : 1.17961e-16
0.418879 : 0.166159 : 0.166159 : -8.32667e-17
0.628319 : 0.352475 : 0.352475 : -1.66533e-16
0.837758 : 0.584205 : 0.591485 : -0.00727955
1.0472 : 0.846606 : 0.904842 : -0.0582364
