x : f(x) : interpolation : error
-1.0472 : 0.846606 : 0.846606 : 0
-1.0462 : 0.845298 : 0.845325 : -2.68348e-05
-1.0452 : 0.843991 : 0.844044 : -5.32175e-05
-1.0442 : 0.842684 : 0.842763 : -7.91511e-05
-1.0432 : 0.841378 : 0.841482 : -0.000104638
-1.0422 : 0.840072 : 0.840201 : -0.000129682
-1.0412 : 0.838766 : 0.838921 : -0.000154286
-1.0402 : 0.837461 : 0.83764 : -0.000178452
-1.0392 : 0.836157 : 0.836359 : -0.000202184
-1.0382 : 0.834853 : 0.835078 : -0.000225484
-1.0372 : 0.833549 : 0.833798 : -0.000248355
-1.0362 : 0.832246 : 0.832517 : -0.0002708
-1.0352 : 0.830944 : 0.831236 : -0.000292822
-1.0342 : 0.829641 : 0.829956 : -0.000314424
-1.0332 : 0.82834 : 0.828675 : -0.000335609
-1.0322 : 0.827039 : 0.827395 : -0.00035638
-1.0312 : 0.825738 : 0.826115 : -0.000376739
-1.0302 : 0.824437 : 0.824834 : -0.00039669
-1.0292 : 0.823138 : 0.823554 : -0.000416235
-1.0282 : 0.821838 : 0.822274 : -0.000435378
-1.0272 : 0.820539 : 0.820994 : -0.00045412
-1.0262 : 0.819241 : 0.819714 : -0.000472466
-1.0252 : 0.817943 : 0.818434 : -0.000490417
-1.0242 : 0.816646 : 0.817154 : -0.000507977
-1.0232 : 0.815349 : 0.815874 : -0.000525149
-1.0222 : 0.814052 : 0.814594 : -0.000541936
-1.0212 : 0.812756 : 0.813315 : -0.00055834
-1.0202 : 0.811461 : 0.812035 : -0.000574364
-1.0192 : 0.810166 : 0.810756 : -0.000590011
-1.0182 : 0.808871 : 0.809476 : -0.000605285
-1.0172 : 0.807577 : 0.808197 : -0.000620187
-1.0162 : 0.806283 : 0.806918 : -0.000634721
-1.0152 : 0.80499 : 0.805639 : -0.00064889
-1.0142 : 0.803698 : 0.80436 : -0.000662696
-1.0132 : 0.802405 : 0.803082 : -0.000676142
-1.0122 : 0.801114 : 0.801803 : -0.000689232
-1.0112 : 0.799823 : 0.800525 : -0.000701968
-1.0102 : 0.798532 : 0.799246 : -0.000714352
-1.0092 : 0.797242 : 0.797968 : -0.000726388
-1.0082 : 0.795952 : 0.79669 : -0.000738079
-1.0072 : 0.794663 : 0.795412 : -0.000749428
-1.0062 : 0.793374 : 0.794134 : -0.000760436
-1.0052 : 0.792086 : 0.792857 : -0.000771108
-1.0042 : 0.790798 : 0.79158 : -0.000781445
-1.0032 : 0.789511 : 0.790302 : -0.000791452
-1.0022 : 0.788224 : 0.789025 : -0.00080113
-1.0012 : 0.786938 : 0.787748 : -0.000810482
-1.0002 : 0.785652 : 0.786472 : -0.000819512
-0.999198 : 0.784367 : 0.785195 : -0.000828222
-0.998198 : 0.783082 : 0.783919 : -0.000836615
-0.997198 : 0.781798 : 0.782643 : -0.000844694
